Simpoints,Weight,ICACHE_UNUSEFUL_CL_val,ICACHE_UNUSEFUL_CL_w_val
2766,217.447,6349,1380571.003
2298,16.1495,0,0.0
2235,73.9095,81,5986.6695
562,151.883,1969,299057.62700000004
2322,74.3347,17,1263.6898999999999
533,77.6496,1641,127422.99360000002
655,136.191,219,29825.829
414,208.958,21084,4405670.472
253,149.505,9994,1494152.97
853,129.616,107,13868.912000000002
907,262.418,1578,414095.604
1114,12.9007,2,25.8014
939,1055.11,41093,43357635.23
2606,11.2554,73,821.6442
2837,150.956,8477,1279654.0119999999
1793,150.359,99,14885.541000000001
1046,85.9267,6275,539190.0425
554,46.3771,212,9831.9452
1970,47.9169,147,7043.784299999999

weighted_avg,NA,NA,53381003.7706
weighted_%,NA,NA,1.0
weighted_total,53381003.7706
