Simpoints,Weight,ICACHE_UNUSEFUL_CL_CYC_val,ICACHE_UNUSEFUL_CL_CYC_w_val
2766,217.447,88497110,19243431078.170002
2298,16.1495,0,0.0
2235,73.9095,1117411869,82587352531.8555
562,151.883,336947236,51176557045.388
2322,74.3347,97388203,7239322853.5441
533,77.6496,590613994,45860940388.5024
655,136.191,1064517138,144977653541.358
414,208.958,549878241,114901457482.878
253,149.505,119701035,17895903237.675
853,129.616,928997405,120412927646.48001
907,262.418,121777997,31956738416.746002
1114,12.9007,17711791,228494502.1537
939,1055.11,419935986,443078658188.45996
2606,11.2554,1515875199,17061781714.8246
2837,150.956,92350842,13940913704.952
1793,150.359,1489439884,223950691518.35602
1046,85.9267,92336612,7934180358.3404
554,46.3771,152488568,7071977566.9928
1970,47.9169,465874078,22323241608.1182

weighted_avg,NA,NA,1371842223384.7944
weighted_%,NA,NA,1.0
weighted_total,1371842223384.7944
