Simpoints,Weight,ICACHE_HIT_ONPATH_BY_FDIP_val,ICACHE_HIT_ONPATH_BY_FDIP_w_val,ICACHE_HIT_OFFPATH_BY_FDIP_val,ICACHE_HIT_OFFPATH_BY_FDIP_w_val
2766,217.447,98528,21424618.016,30065,6537544.055
2298,16.1495,0,0.0,0,0.0
2235,73.9095,47,3473.7464999999997,738,54545.210999999996
562,151.883,15344,2330492.7520000003,12180,1849934.9400000002
2322,74.3347,7,520.3429,20,1486.694
533,77.6496,1886,146447.14560000002,9256,718724.6976000001
655,136.191,47,6400.977,975,132786.225
414,208.958,69594,14542223.052,96484,20161103.672
253,149.505,109167,16321012.334999999,36944,5523312.72
853,129.616,80,10369.28,894,115876.70400000001
907,262.418,10859,2849597.062,14105,3701405.89
1114,12.9007,846,10913.9922,312,4025.0184
939,1055.11,158751,167499767.60999998,172470,181974821.7
2606,11.2554,37,416.4498,305,3432.897
2837,150.956,136061,20539224.316,65202,9842633.112
1793,150.359,56,8420.104000000001,1175,176671.825
1046,85.9267,87000,7475622.899999999,20603,1770347.8000999999
554,46.3771,1962,90991.87019999999,3085,143073.3535
1970,47.9169,1943,93102.5367,2388,114425.5572

weighted_avg,NA,NA,253353614.48790005,NA,232826152.0718
weighted_%,NA,NA,0.5211109797527737,NA,0.4788890202472264
weighted_total,486179766.5597
