Simpoints,Weight,ICACHE_EVICT_MISS_BY_FDIP_ONPATH_val,ICACHE_EVICT_MISS_BY_FDIP_ONPATH_w_val,ICACHE_EVICT_MISS_BY_FDIP_OFFPATH_val,ICACHE_EVICT_MISS_BY_FDIP_OFFPATH_w_val
2766,217.447,6,1304.682,4597,999603.859
2298,16.1495,0,0.0,0,0.0
2235,73.9095,0,0.0,67,4951.9365
562,151.883,13,1974.479,1651,250758.833
2322,74.3347,2,148.6694,14,1040.6858
533,77.6496,17,1320.0432,1522,118182.69120000002
655,136.191,1,136.191,210,28600.11
414,208.958,63,13164.354,18606,3887872.548
253,149.505,5,747.525,6709,1003029.0449999999
853,129.616,1,129.616,104,13480.064000000002
907,262.418,12,3149.016,1320,346391.76
1114,12.9007,0,0.0,2,25.8014
939,1055.11,124,130833.63999999998,36296,38296272.559999995
2606,11.2554,0,0.0,69,776.6226
2837,150.956,19,2868.1639999999998,4920,742703.5199999999
1793,150.359,0,0.0,98,14735.182
1046,85.9267,27,2320.0209,4072,349893.52239999996
554,46.3771,2,92.7542,163,7559.467299999999
1970,47.9169,3,143.7507,58,2779.1802

weighted_avg,NA,NA,158332.9054,NA,46068657.38839999
weighted_%,NA,NA,0.0034251181916387006,NA,0.9965748818083613
weighted_total,46226990.29379999
