Simpoints,Weight,ICACHE_HIT_BY_FDIP_ONPATH_val,ICACHE_HIT_BY_FDIP_ONPATH_w_val,ICACHE_HIT_BY_FDIP_OFFPATH_val,ICACHE_HIT_BY_FDIP_OFFPATH_w_val
2766,217.447,90525,19684389.675,8003,1740228.341
2298,16.1495,0,0.0,0,0.0
2235,73.9095,1,73.9095,46,3399.8369999999995
562,151.883,12423,1886842.509,2921,443650.243
2322,74.3347,4,297.3388,3,223.0041
533,77.6496,719,55830.0624,1167,90617.08320000001
655,136.191,7,953.337,40,5447.64
414,208.958,53617,11203701.086,15977,3338521.966
253,149.505,101335,15150089.174999999,7832,1170923.16
853,129.616,4,518.464,76,9850.816
907,262.418,7636,2003823.848,3223,845773.214
1114,12.9007,784,10114.1488,62,799.8434
939,1055.11,123165,129952623.14999999,35586,37547144.45999999
2606,11.2554,2,22.5108,35,393.939
2837,150.956,121191,18294508.595999997,14870,2244715.7199999997
1793,150.359,2,300.718,54,8119.386
1046,85.9267,82229,7065666.6143,4771,409956.2857
554,46.3771,1423,65994.6133,539,24997.2569
1970,47.9169,1358,65071.1502,585,28031.3865

weighted_avg,NA,NA,205440820.90609998,NA,47912793.58179999
weighted_%,NA,NA,0.8108856916107338,NA,0.18911430838926627
weighted_total,253353614.48789996
