Simpoints,Weight,CBR_CORRECT_val,CBR_CORRECT_w_val,CBR_CORRECT_BTB_MISS_NT_NT_val,CBR_CORRECT_BTB_MISS_NT_NT_w_val,CBR_RECOVER_MISPREDICT_val,CBR_RECOVER_MISPREDICT_w_val,CBR_RECOVER_MISFETCH_val,CBR_RECOVER_MISFETCH_w_val,CBR_RECOVER_BTB_MISS_T_T_val,CBR_RECOVER_BTB_MISS_T_T_w_val,CBR_RECOVER_BTB_MISS_T_NT_val,CBR_RECOVER_BTB_MISS_T_NT_w_val,CBR_RECOVER_BTB_MISS_NT_T_val,CBR_RECOVER_BTB_MISS_NT_T_w_val
2766,217.447,1833856,398766485.632,490993,106764954.871,4766,1036352.402,0,0.0,371,80672.837,74,16091.078,37,8045.539
2298,16.1495,1086350,17544009.325,128567,2076292.7665,539,8704.5805,0,0.0,0,0.0,0,0.0,0,0.0
2235,73.9095,1140965,84328152.66749999,320048,23654587.656,6876,508201.72199999995,0,0.0,8,591.276,30,2217.285,95,7021.402499999999
562,151.883,1534893,233124153.51900002,311994,47386584.702,17430,2647320.69,0,0.0,51,7746.033,208,31591.664,320,48602.560000000005
2322,74.3347,1484752,110368594.4944,352247,26184175.0709,2923,217280.32809999998,0,0.0,1,74.3347,11,817.6817,15,1115.0205
533,77.6496,1567358,121704721.75680001,310881,24139785.2976,34025,2642027.64,0,0.0,93,7221.412800000001,368,28575.0528,430,33389.328
655,136.191,991807,135075187.137,508057,69192790.887,2232,303978.31200000003,0,0.0,3,408.573,12,1634.292,86,11712.426
414,208.958,1145112,239280313.296,457080,95510522.64,21639,4521642.162,0,0.0,2579,538902.682,3144,656963.952,3828,799891.224
253,149.505,1183537,176944699.185,553147,82698242.235,14875,2223886.875,0,0.0,211,31545.555,116,17342.579999999998,19,2840.595
853,129.616,1334328,172950258.048,285351,36986055.216000006,22839,2960299.8240000005,0,0.0,8,1036.928,76,9850.816,68,8813.888
907,262.418,1254893,329306511.274,467879,122779871.422,57078,14978294.604,0,0.0,18,4723.524,305,80037.49,91,23880.038
1114,12.9007,4131451,53298609.9157,383787,4951120.9509000005,3672,47371.3704,1,12.9007,0,0.0,14,180.6098,5,64.5035
939,1055.11,861956,909458395.16,683629,721303794.1899999,38173,40276714.029999994,0,0.0,3900,4114928.9999999995,3422,3610586.4199999995,3801,4010473.1099999994
2606,11.2554,5690020,64043451.108,386437,4349503.0098,3721,41881.3434,0,0.0,2,22.5108,28,315.1512,71,799.1333999999999
2837,150.956,1173461,177140978.716,449186,67807321.816,17792,2685809.152,1,150.956,160,24152.96,113,17058.028,52,7849.7119999999995
1793,150.359,1424033,214116177.847,333015,50071802.385000005,23722,3566816.1980000003,0,0.0,17,2556.103,93,13983.387,89,13381.951000000001
1046,85.9267,1137107,97707852.0569,608589,52294044.4263,8689,746617.0963,0,0.0,170,14607.538999999999,130,11170.471,174,14951.245799999999
554,46.3771,1267247,58771240.8437,146229,6781676.9558999995,19641,910892.6211,0,0.0,29,1344.9359,84,3895.6764,55,2550.7405
1970,47.9169,63318870,3034043961.903,426816,20451699.5904,681,32631.4089,0,0.0,0,0.0,0,0.0,1,47.9169

weighted_avg,NA,NA,6627973753.885,NA,1565384826.0883,NA,80356722.35969998,NA,163.8567,NA,4830536.2042,NA,4502311.6349,NA,4995430.3341
weighted_%,NA,NA,0.7997030370879746,NA,0.18887265491968405,NA,0.009695499304568039,NA,1.9770250381635215e-08,NA,0.0005828318905152355,NA,0.0005432297142449617,NA,0.0006027273127627535
weighted_total,8288043744.3629
