Simpoints,Weight,ICACHE_HIT_val,ICACHE_HIT_w_val,ICACHE_MISS_val,ICACHE_MISS_w_val
2766,217.447,1797619,390886858.693,5175,1125288.225
2298,16.1495,1296014,20929978.093,0,0.0
2235,73.9095,1694771,125259677.22449999,77,5691.031499999999
562,151.883,1461133,221921263.439,2555,388061.065
2322,74.3347,1563031,116187440.47569999,35,2601.7145
533,77.6496,2356513,182982291.84480003,2117,164384.20320000002
655,136.191,1250618,170322916.03800002,236,32141.076
414,208.958,1887009,394305626.622,15885,3319297.83
253,149.505,1601966,239501926.82999998,10125,1513738.125
853,129.616,2474649,320754104.78400004,117,15165.072000000002
907,262.418,2105617,552551801.906,2364,620356.152
1114,12.9007,471821,6086821.1747,18,232.2126
939,1055.11,2064201,2177959117.1099997,26564,28027942.04
2606,11.2554,1288530,14502920.561999999,94,1058.0076
2837,150.956,1652699,249484830.244,6612,998121.0719999999
1793,150.359,1988954,299057134.486,671,100890.88900000001
1046,85.9267,1297363,111478121.2921,10877,934624.7159
554,46.3771,1753846,81338291.3266,611,28336.4081
1970,47.9169,976741,46802400.8229,7027,336712.0563

weighted_avg,NA,NA,5722313522.9683,NA,37614641.89569999
weighted_%,NA,NA,0.9934695987833403,NA,0.00653040121665964
weighted_total,5759928164.864
