Simpoints,Weight,ICACHE_EVICT_MISS_ONPATH_BY_FDIP_val,ICACHE_EVICT_MISS_ONPATH_BY_FDIP_w_val,ICACHE_EVICT_MISS_OFFPATH_BY_FDIP_val,ICACHE_EVICT_MISS_OFFPATH_BY_FDIP_w_val
2766,217.447,4188,910668.036,415,90240.505
2298,16.1495,0,0.0,0,0.0
2235,73.9095,46,3399.8369999999995,21,1552.0994999999998
562,151.883,1325,201244.975,339,51488.33700000001
2322,74.3347,13,966.3511,3,223.0041
533,77.6496,1037,80522.6352,502,38980.099200000004
655,136.191,121,16479.111,90,12257.19
414,208.958,13018,2720215.244,5651,1180821.658
253,149.505,6217,929472.585,497,74303.985
853,129.616,57,7388.112000000001,48,6221.568000000001
907,262.418,1048,275014.064,284,74526.712
1114,12.9007,2,25.8014,0,0.0
939,1055.11,27793,29324672.229999997,8627,9102433.969999999
2606,11.2554,42,472.72679999999997,27,303.8958
2837,150.956,4592,693189.9519999999,347,52381.731999999996
1793,150.359,35,5262.5650000000005,63,9472.617
1046,85.9267,3816,327896.28719999996,283,24317.2561
554,46.3771,127,5889.8917,38,1762.3298
1970,47.9169,57,2731.2633,4,191.6676

weighted_avg,NA,NA,35505511.66769999,NA,10721478.626100002
weighted_%,NA,NA,0.7680688585183972,NA,0.2319311414816027
weighted_total,46226990.2938
