Simpoints,Weight,FDIP_SENIORITY_FTQ_ACCUMULATED_val,FDIP_SENIORITY_FTQ_ACCUMULATED_w_val
2766,217.447,70441174,15317221962.778
2298,16.1495,0,0.0
2235,73.9095,552328125,40822295554.6875
562,151.883,212460070,32269072811.81
2322,74.3347,32838428,2441034693.8516
533,77.6496,137660520,10689284313.792002
655,136.191,57311764,7805346450.924
414,208.958,2633936372,550382076420.376
253,149.505,26968200,4031880741.0
853,129.616,141913307,18394235200.112003
907,262.418,72448584,19011812516.112
1114,12.9007,1611381,20787942.8667
939,1055.11,1173906092,1238600056730.1199
2606,11.2554,973932036,10961994637.9944
2837,150.956,14726941,2223120105.5959997
1793,150.359,617799809,92891761481.431
1046,85.9267,29647585,2547519142.0195
554,46.3771,27979185,1297593460.6635
1970,47.9169,2877324,137872446.37559998

weighted_avg,NA,NA,2049844966612.5095
weighted_%,NA,NA,1.0
weighted_total,2049844966612.5095
