Simpoints,Weight,FDIP_FTQ_OCCUPANCY_OPS_ACCUMULATED_val,FDIP_FTQ_OCCUPANCY_OPS_ACCUMULATED_w_val
517,810.151,655661903,531185146377.35297
5297,898.498,655323181,588806567482.1381
5168,967.77,655433950,634309313791.5
2807,979.819,654635196,641424003109.5239
2215,509.983,654080693,333570034058.219
1490,862.35,658685165,568017152037.75
3954,490.914,656316386,322194902316.804
2031,399.553,654887894,261662422711.382

weighted_avg,NA,NA,3881169541884.6694
weighted_%,NA,NA,1.0
weighted_total,3881169541884.6694
