Simpoints,Weight,ICACHE_HIT_BY_FDIP_ONPATH_val,ICACHE_HIT_BY_FDIP_ONPATH_w_val,ICACHE_HIT_BY_FDIP_OFFPATH_val,ICACHE_HIT_BY_FDIP_OFFPATH_w_val
517,810.151,305197,247255654.74699998,66181,53616603.331
5297,898.498,302357,271667159.786,69267,62236260.966000006
5168,967.77,304601,294783709.77,67582,65403832.14
2807,979.819,305806,299634529.11399996,66931,65580265.489
2215,509.983,304349,155212816.067,67464,34405493.112
1490,862.35,303122,261397256.70000002,67858,58517346.300000004
3954,490.914,303974,149225092.236,66686,32737091.004
2031,399.553,305259,121967149.227,67392,26926675.776

weighted_avg,NA,NA,1801143367.6469998,NA,399423568.11800003
weighted_%,NA,NA,0.8184906072947309,NA,0.18150939270526908
weighted_total,2200566935.765
