Simpoints,Weight,ICACHE_MISS_MSHR_HIT_ONPATH_BY_FDIP_val,ICACHE_MISS_MSHR_HIT_ONPATH_BY_FDIP_w_val,ICACHE_MISS_MSHR_HIT_OFFPATH_BY_FDIP_val,ICACHE_MISS_MSHR_HIT_OFFPATH_BY_FDIP_w_val
517,810.151,13051,10573280.701,97,78584.647
5297,898.498,13053,11728094.394000001,92,82661.816
5168,967.77,12617,12210354.09,88,85163.76
2807,979.819,13061,12797415.958999999,118,115618.64199999999
2215,509.983,12981,6620089.323,86,43858.538
1490,862.35,13263,11437348.05,113,97445.55
3954,490.914,12839,6302844.846,18,8836.452
2031,399.553,13110,5238139.83,86,34361.558

weighted_avg,NA,NA,76907567.193,NA,546530.963
weighted_%,NA,NA,0.9929438083198744,NA,0.007056191680125615
weighted_total,77454098.156
