Simpoints,Weight,ICACHE_FILL_CORRECT_REQ_CYCLE_DELTA_BY_ON_FDIP_HIT_BY_DEMAND_LOAD_val,ICACHE_FILL_CORRECT_REQ_CYCLE_DELTA_BY_ON_FDIP_HIT_BY_DEMAND_LOAD_w_val,ICACHE_FILL_CORRECT_REQ_CYCLE_DELTA_BY_OFF_FDIP_HIT_BY_DEMAND_LOAD_val,ICACHE_FILL_CORRECT_REQ_CYCLE_DELTA_BY_OFF_FDIP_HIT_BY_DEMAND_LOAD_w_val
517,810.151,114211,92528155.861,0,0.0
5297,898.498,116608,104772054.78400001,20,17969.96
5168,967.77,112466,108841220.82,0,0.0
2807,979.819,114978,112657628.982,0,0.0
2215,509.983,114038,58157441.354,0,0.0
1490,862.35,118737,102392851.95,25,21558.75
3954,490.914,112154,55057968.756,0,0.0
2031,399.553,116392,46504772.776,0,0.0

weighted_avg,NA,NA,680912095.2830001,NA,39528.71
weighted_%,NA,NA,0.9999419507809258,NA,5.804921907405031e-05
weighted_total,680951623.9930001
