Simpoints,Weight,FDIP_BLOOM_HIT_val,FDIP_BLOOM_HIT_w_val,FDIP_BLOOM_MISS_val,FDIP_BLOOM_MISS_w_val
517,810.151,901548,730390013.7479999,34207,27712835.257
5297,898.498,893675,802965200.1500001,34692,31170692.616
5168,967.77,900434,871413012.18,33936,32842242.72
2807,979.819,901050,882865909.9499999,34139,33450040.841
2215,509.983,905410,461743708.03000003,34532,17610732.956
1490,862.35,899270,775485484.5,35382,30511667.7
3954,490.914,903244,443415125.016,34171,16775022.294
2031,399.553,907449,362573970.297,34850,13924422.05

weighted_avg,NA,NA,5330852423.871,NA,203997656.434
weighted_%,NA,NA,0.9631430565463919,NA,0.03685694345360816
weighted_total,5534850080.305
