Simpoints,Weight,FDIP_ATTEMPTED_PREF_ONPATH_val,FDIP_ATTEMPTED_PREF_ONPATH_w_val,FDIP_ATTEMPTED_PREF_OFFPATH_val,FDIP_ATTEMPTED_PREF_OFFPATH_w_val
517,810.151,1463720,1185834221.72,504356,408604517.756
5297,898.498,1463942,1315348959.1160002,527177,473667480.146
5168,967.77,1463556,1416385590.12,509091,492682997.07
2807,979.819,1463326,1433794617.994,503744,493577942.33599997
2215,509.983,1464454,746846644.2820001,505567,257830575.361
1490,862.35,1464636,1263028854.6000001,517503,446268712.05
3954,490.914,1463955,718676004.87,506374,248586085.836
2031,399.553,1464988,585340350.364,506724,202463094.372

weighted_avg,NA,NA,8665255243.066,NA,3023681404.927
weighted_%,NA,NA,0.7413210888223807,NA,0.25867891117761926
weighted_total,11688936647.993
