Simpoints,Weight,FDIP_FTQ_OCCUPANCY_BLOCKS_ACCUMULATED_val,FDIP_FTQ_OCCUPANCY_BLOCKS_ACCUMULATED_w_val
517,810.151,91717327,74304884186.377
5297,898.498,91374220,82099553921.56
5168,967.77,91700083,88744589324.91
2807,979.819,91589339,89740974549.64099
2215,509.983,91483240,46654897184.92
1490,862.35,92099149,79421701140.15001
3954,490.914,91803279,45067514907.006
2031,399.553,91611659,36603713188.427

weighted_avg,NA,NA,542637828402.991
weighted_%,NA,NA,1.0
weighted_total,542637828402.991
