Simpoints,Weight,ICACHE_FIRST_MISS_AFTER_WARMUP_SEEN_DURING_WARMUP_val,ICACHE_FIRST_MISS_AFTER_WARMUP_SEEN_DURING_WARMUP_w_val,ICACHE_FIRST_MISS_AFTER_WARMUP_NOT_SEEN_DURING_WARMUP_val,ICACHE_FIRST_MISS_AFTER_WARMUP_NOT_SEEN_DURING_WARMUP_w_val
517,810.151,0,0.0,0,0.0
5297,898.498,14,12578.972000000002,13,11680.474
5168,967.77,2,1935.54,0,0.0
2807,979.819,0,0.0,0,0.0
2215,509.983,2,1019.966,0,0.0
1490,862.35,18,15522.300000000001,11,9485.85
3954,490.914,0,0.0,0,0.0
2031,399.553,0,0.0,0,0.0

weighted_avg,NA,NA,31056.778000000006,NA,21166.324
weighted_%,NA,NA,0.5946942408744698,NA,0.40530575912553024
weighted_total,52223.102000000006
