Simpoints,Weight,ICACHE_EVICT_MISS_ONPATH_BY_FDIP_val,ICACHE_EVICT_MISS_ONPATH_BY_FDIP_w_val,ICACHE_EVICT_MISS_OFFPATH_BY_FDIP_val,ICACHE_EVICT_MISS_OFFPATH_BY_FDIP_w_val
517,810.151,18426,14927842.326,445,360517.195
5297,898.498,19408,17438049.184,427,383658.646
5168,967.77,18704,18101170.08,385,372591.45
2807,979.819,19521,19127046.699,254,248874.02599999998
2215,509.983,18491,9430095.653,319,162684.577
1490,862.35,19220,16574367.0,383,330280.05
3954,490.914,18414,9039690.396,412,202256.568
2031,399.553,18519,7399322.007,257,102685.121

weighted_avg,NA,NA,112037583.345,NA,2163547.633
weighted_%,NA,NA,0.9810549368953553,NA,0.01894506310464466
weighted_total,114201130.978
