Simpoints,Weight,FDIP_PREF_MSHR_PROBE_HIT_ONPATH_val,FDIP_PREF_MSHR_PROBE_HIT_ONPATH_w_val,FDIP_PREF_MSHR_PROBE_HIT_OFFPATH_val,FDIP_PREF_MSHR_PROBE_HIT_OFFPATH_w_val
517,810.151,76553,62019489.503,17416,14109589.816
5297,898.498,76416,68659623.168,18701,16802811.098
5168,967.77,76140,73686007.8,17605,17037590.85
2807,979.819,77121,75564621.09899999,17419,17067467.161
2215,509.983,76703,39117226.049,17274,8809446.342
1490,862.35,75680,65262648.0,18142,15644753.700000001
3954,490.914,76321,37467047.394,17295,8490357.629999999
2031,399.553,76461,30550221.933,17523,7001367.219

weighted_avg,NA,NA,452326884.946,NA,104963383.81599998
weighted_%,NA,NA,0.8116540164084108,NA,0.18834598359158922
weighted_total,557290268.762
