Simpoints,Weight,ICACHE_FILL_CORRECT_REQ_BY_ON_FDIP_HIT_BY_DEMAND_LOAD_val,ICACHE_FILL_CORRECT_REQ_BY_ON_FDIP_HIT_BY_DEMAND_LOAD_w_val,ICACHE_FILL_CORRECT_REQ_BY_OFF_FDIP_HIT_BY_DEMAND_LOAD_val,ICACHE_FILL_CORRECT_REQ_BY_OFF_FDIP_HIT_BY_DEMAND_LOAD_w_val
517,810.151,11806,9564642.706,0,0.0
5297,898.498,11806,10607667.388,1,898.498
5168,967.77,11401,11033545.77,0,0.0
2807,979.819,11845,11605956.055,0,0.0
2215,509.983,11720,5977000.76,0,0.0
1490,862.35,11965,10318017.75,1,862.35
3954,490.914,11531,5660729.334,0,0.0
2031,399.553,11848,4733903.944,0,0.0

weighted_avg,NA,NA,69501463.707,NA,1760.848
weighted_%,NA,NA,0.9999746652329977,NA,2.533476700216387e-05
weighted_total,69503224.555
