Simpoints,Weight,FDIP_SENIORITY_FTQ_ACCUMULATED_val,FDIP_SENIORITY_FTQ_ACCUMULATED_w_val
517,810.151,572420275,463746858211.52496
5297,898.498,585966206,526489464158.588
5168,967.77,570642456,552250649643.12
2807,979.819,572166646,560619750917.074
2215,509.983,579220899,295392811734.717
1490,862.35,593281657,511616436913.95
3954,490.914,572035579,280820274229.206
2031,399.553,584277262,233449732863.886

weighted_avg,NA,NA,3424385978672.0664
weighted_%,NA,NA,1.0
weighted_total,3424385978672.0664
