Simpoints,Weight,ICACHE_EVICT_MISS_BY_FDIP_ONPATH_val,ICACHE_EVICT_MISS_BY_FDIP_ONPATH_w_val,ICACHE_EVICT_MISS_BY_FDIP_OFFPATH_val,ICACHE_EVICT_MISS_BY_FDIP_OFFPATH_w_val
517,810.151,0,0.0,18871,15288359.521
5297,898.498,7,6289.486000000001,19828,17815418.344
5168,967.77,0,0.0,19089,18473761.53
2807,979.819,1,979.819,19774,19374940.906
2215,509.983,0,0.0,18810,9592780.23
1490,862.35,5,4311.75,19598,16900335.3
3954,490.914,0,0.0,18826,9241946.964
2031,399.553,0,0.0,18776,7502007.128

weighted_avg,NA,NA,11581.055,NA,114189549.92300001
weighted_%,NA,NA,0.00010140928466138399,NA,0.9998985907153386
weighted_total,114201130.97800002
