Simpoints,Weight,FDIP_NEW_PREFETCHES_ONPATH_val,FDIP_NEW_PREFETCHES_ONPATH_w_val,FDIP_NEW_PREFETCHES_OFFPATH_val,FDIP_NEW_PREFETCHES_OFFPATH_w_val
517,810.151,322596,261351471.996,90306,73161496.206
5297,898.498,319637,287193205.226,93992,84451624.016
5168,967.77,321621,311255155.17,91192,88252881.84
2807,979.819,323031,316511911.389,91283,89440817.777
2215,509.983,322168,164300203.144,91034,46425792.422
1490,862.35,320904,276731564.40000004,92461,79733743.35000001
3954,490.914,321278,157719868.092,90486,44420844.203999996
2031,399.553,322702,128936552.206,90845,36297392.285

weighted_avg,NA,NA,1903999931.6230001,NA,542184592.1
weighted_%,NA,NA,0.7783549904588491,NA,0.2216450095411509
weighted_total,2446184523.723
