Simpoints,Weight,ICACHE_HIT_val,ICACHE_HIT_w_val,ICACHE_MISS_val,ICACHE_MISS_w_val
517,810.151,1473645,1193874970.395,14123,11441762.572999999
5297,898.498,1478653,1328566763.194,14112,12679603.776
5168,967.77,1477463,1429844367.51,13645,13205221.65
2807,979.819,1474108,1444359026.452,14177,13890893.963
2215,509.983,1475517,752488586.211,14020,7149961.66
1490,862.35,1479780,1276088283.0,14372,12393694.200000001
3954,490.914,1475972,724575318.408,13795,6772158.63
2031,399.553,1475501,589540851.053,14181,5666061.093

weighted_avg,NA,NA,8739338166.223,NA,83199357.54499999
weighted_%,NA,NA,0.990569679378426,NA,0.009430320621574024
weighted_total,8822537523.768
