Simpoints,Weight,FDIP_PREF_ICACHE_PROBE_HIT_ONPATH_val,FDIP_PREF_ICACHE_PROBE_HIT_ONPATH_w_val,FDIP_PREF_ICACHE_PROBE_HIT_OFFPATH_val,FDIP_PREF_ICACHE_PROBE_HIT_OFFPATH_w_val
517,810.151,1061013,859580742.9629999,365985,296503113.73499995
5297,898.498,1064337,956304665.8260001,383344,344433817.31200004
5168,967.77,1062247,1028010779.1899999,369906,357983929.62
2807,979.819,1059628,1038243647.332,364449,357094054.731
2215,509.983,1062050,541627445.15,366260,186786373.58
1490,862.35,1064502,917973299.7,375068,323439889.8
3954,490.914,1062808,521747326.51199996,367970,180641624.57999998
2031,399.553,1062293,424442355.029,367038,146651134.014

weighted_avg,NA,NA,6287930261.702,NA,2193533937.3719997
weighted_%,NA,NA,0.7413732009136479,NA,0.2586267990863521
weighted_total,8481464199.073999
