Simpoints,Weight,ICACHE_FIRST_MISS_AFTER_WARMUP_SEEN_DURING_WARMUP_val,ICACHE_FIRST_MISS_AFTER_WARMUP_SEEN_DURING_WARMUP_w_val,ICACHE_FIRST_MISS_AFTER_WARMUP_NOT_SEEN_DURING_WARMUP_val,ICACHE_FIRST_MISS_AFTER_WARMUP_NOT_SEEN_DURING_WARMUP_w_val
517,810.151,0,0.0,0,0.0
5297,898.498,6,5390.988,18,16172.964
5168,967.77,0,0.0,2,1935.54
2807,979.819,0,0.0,0,0.0
2215,509.983,1,509.983,1,509.983
1490,862.35,7,6036.45,18,15522.300000000001
3954,490.914,0,0.0,0,0.0
2031,399.553,0,0.0,0,0.0

weighted_avg,NA,NA,11937.421,NA,34140.787000000004
weighted_%,NA,NA,0.25906869034490226,NA,0.7409313096550977
weighted_total,46078.208000000006
