Simpoints,Weight,FDIP_FTQ_OCCUPANCY_BLOCKS_ACCUMULATED_val,FDIP_FTQ_OCCUPANCY_BLOCKS_ACCUMULATED_w_val
517,810.151,51962194,42097223431.294
5297,898.498,52142353,46849799885.794
5168,967.77,52158003,50476950563.31
2807,979.819,52097151,51045778395.669
2215,509.983,52012082,26525277614.606
1490,862.35,52277214,45081255492.9
3954,490.914,52188483,25620056943.461998
2031,399.553,52142264,20833598007.992

weighted_avg,NA,NA,308529940335.027
weighted_%,NA,NA,1.0
weighted_total,308529940335.027
