Simpoints,Weight,FDIP_FTQ_OCCUPANCY_OPS_ACCUMULATED_val,FDIP_FTQ_OCCUPANCY_OPS_ACCUMULATED_w_val
517,810.151,355514261,288020234063.411
5297,898.498,357148128,320896878711.744
5168,967.77,356679168,345183398415.36
2807,979.819,356338001,349146743801.819
2215,509.983,355878998,181492239037.034
1490,862.35,357746767,308502924522.45
3954,490.914,357087630,175299316793.82
2031,399.553,356755657,142542793021.32098

weighted_avg,NA,NA,2111084528366.959
weighted_%,NA,NA,1.0
weighted_total,2111084528366.959
