Simpoints,Weight,DCACHE_MISS_val,DCACHE_MISS_w_val,DCACHE_ST_BUFFER_HIT_val,DCACHE_ST_BUFFER_HIT_w_val,DCACHE_HIT_val,DCACHE_HIT_w_val
517,810.151,190821,154593823.971,6258,5069924.958,4227189,3424661395.539
5297,898.498,192899,173319365.70200002,6066,5450288.868000001,4227854,3798718363.2920003
5168,967.77,196978,190629399.06,4999,4837882.2299999995,4222792,4086691413.84
2807,979.819,189716,185887341.40399998,5425,5315518.075,4229315,4143963193.9849997
2215,509.983,196385,100153011.455,4908,2502996.5640000002,4223467,2153896371.061
1490,862.35,196392,169358641.20000002,5218,4499742.3,4225365,3643743507.75
3954,490.914,196194,96314381.316,4927,2418733.278,4223476,2073363497.064
2031,399.553,195758,78215696.174,4836,1932238.308,4224064,1687737443.392

weighted_avg,NA,NA,1148471660.282,NA,32027324.581,NA,25012775185.923
weighted_%,NA,NA,0.04384605195951099,NA,0.0012227308572488758,NA,0.9549312171832401
weighted_total,26193274170.786
