Simpoints,Weight,ICACHE_EVICT_MISS_BY_FDIP_ONPATH_val,ICACHE_EVICT_MISS_BY_FDIP_ONPATH_w_val,ICACHE_EVICT_MISS_BY_FDIP_OFFPATH_val,ICACHE_EVICT_MISS_BY_FDIP_OFFPATH_w_val
517,810.151,5613,4547377.563,27885,22591060.634999998
5297,898.498,5595,5027096.3100000005,29476,26484127.048
5168,967.77,5608,5427254.16,28445,27528217.65
2807,979.819,5607,5493845.132999999,28553,27976771.906999998
2215,509.983,5580,2845705.14,28817,14696180.111
1490,862.35,5568,4801564.8,29692,25604896.2
3954,490.914,5598,2748136.572,28389,13936557.546
2031,399.553,5573,2226708.869,28628,11438403.284

weighted_avg,NA,NA,33117688.547000002,NA,170256214.381
weighted_%,NA,NA,0.16284138756349964,NA,0.8371586124365005
weighted_total,203373902.928
