Simpoints,Weight,ICACHE_HIT_val,ICACHE_HIT_w_val,ICACHE_MISS_val,ICACHE_MISS_w_val
517,810.151,1472775,1193170139.0249999,18243,14779584.693
5297,898.498,1477408,1327448133.184,18996,17067868.008
5168,967.77,1476136,1428560136.72,18361,17769224.97
2807,979.819,1473036,1443308660.484,18390,18018871.41
2215,509.983,1474262,751848557.546,18452,9410206.316
1490,862.35,1478990,1275407026.5,18668,16098349.8
3954,490.914,1474616,723909639.0239999,18405,9035272.17
2031,399.553,1474528,589152085.984,18563,7416902.339

weighted_avg,NA,NA,8732804378.467,NA,109596279.706
weighted_%,NA,NA,0.9876055967216663,NA,0.012394403278333759
weighted_total,8842400658.172998
