Simpoints,Weight,ICACHE_UNUSEFUL_CL_CYC_val,ICACHE_UNUSEFUL_CL_CYC_w_val
517,810.151,103822729,84112087722.079
5297,898.498,109510247,98394737909.00601
5168,967.77,105827624,102416799678.48
2807,979.819,105841107,103705127619.633
2215,509.983,106829541,54481249807.803
1490,862.35,110513821,95301593539.35
3954,490.914,105682759,51881145951.726
2031,399.553,106311501,42477079159.053

weighted_avg,NA,NA,632769821387.1299
weighted_%,NA,NA,1.0
weighted_total,632769821387.1299
