Simpoints,Weight,ICACHE_EVICT_MISS_ONPATH_BY_FDIP_val,ICACHE_EVICT_MISS_ONPATH_BY_FDIP_w_val,ICACHE_EVICT_MISS_OFFPATH_BY_FDIP_val,ICACHE_EVICT_MISS_OFFPATH_BY_FDIP_w_val
4118,2431.67,76018,184850690.06,4400,10699348.0
1010,22.174,80863,1793056.162,5178,114816.972
1362,2347.06,75958,178277983.48,4138,9712134.28
5198,1186.62,76258,90489267.96,4258,5052627.96

weighted_avg,NA,NA,455410997.662,NA,25578927.211999997
weighted_%,NA,NA,0.9468202432333678,NA,0.05317975676663216
weighted_total,480989924.874
