Simpoints,Weight,NODE_CYCLE_val,NODE_CYCLE_w_val
4118,2431.67,4618794,11231382805.98
1010,22.174,4991112,110672917.48799999
1362,2347.06,4631644,10870746366.64
5198,1186.62,4618169,5480011698.78

weighted_avg,NA,NA,27692813788.888
weighted_%,NA,NA,1.0
weighted_total,27692813788.888
