Simpoints,Weight,FDIP_ATTEMPTED_PREF_ONPATH_val,FDIP_ATTEMPTED_PREF_ONPATH_w_val,FDIP_ATTEMPTED_PREF_OFFPATH_val,FDIP_ATTEMPTED_PREF_OFFPATH_w_val
49,53.1722,1548136,82317797.0192,2625849,139622168.19779998
1172,4605.89,1584940,7300059296.6,2891224,13316659709.36

weighted_avg,NA,NA,7382377093.619201,NA,13456281877.5578
weighted_%,NA,NA,0.35426353988661835,NA,0.6457364601133816
weighted_total,20838658971.177002
