Simpoints,Weight,ICACHE_UNUSEFUL_CL_val,ICACHE_UNUSEFUL_CL_w_val
49,53.1722,144452,7680830.6344
1172,4605.89,157774,726689688.86

weighted_avg,NA,NA,734370519.4944
weighted_%,NA,NA,1.0
weighted_total,734370519.4944
