Simpoints,Weight,FDIP_FTQ_OCCUPANCY_BLOCKS_ACCUMULATED_val,FDIP_FTQ_OCCUPANCY_BLOCKS_ACCUMULATED_w_val
49,53.1722,91156190,4846975165.917999
1172,4605.89,78453665,361348951086.85004

weighted_avg,NA,NA,366195926252.76807
weighted_%,NA,NA,1.0
weighted_total,366195926252.76807
