Simpoints,Weight,ICACHE_HIT_val,ICACHE_HIT_w_val,ICACHE_MISS_val,ICACHE_MISS_w_val
2264,44.9546,1645903,73990911.0038,4907,220592.2222
812,334.908,1635509,547745048.172,9574,3206409.1920000003
1358,97.2156,1410987,137169947.7972,15942,1549811.0951999999
1778,40.8635,1418866,57979830.791,4,163.454
828,45.4532,2655360,120694609.15200001,640,29090.048000000003
2213,8.07837,1257135,10155601.66995,60,484.70219999999995
1726,65.5195,1214051,79544014.4945,30,1965.5849999999998
2054,37.2896,1418440,52893060.224,505,18831.248
1903,16.1097,835742,13463552.8974,37,596.0589
509,133.977,1357349,181853546.97300002,7106,952040.562
1751,10.0901,1291309,13029436.9409,0,0.0
62,40.4224,1550465,62673516.41600001,965,39007.616
2151,40.7196,2244218,91383659.2728,468,19056.7728
239,98.774,1440424,142276440.176,133,13136.942000000001
1893,44.3029,697881,30918152.1549,0,0.0
1305,111.513,1710858,190782908.154,21292,2374334.796
1673,34.2884,1528814,52420585.957600005,131,4491.780400000001
492,45.4197,1239466,56296173.8802,6357,288733.0329
2249,320.874,1927333,618431049.042,25143,8067734.982000001
264,17.7912,2875323,51155446.5576,2068,36792.2016
2123,26.1783,1359815,35597645.0145,55,1439.8065
116,27.1629,1297092,35232780.2868,351,9534.1779
1159,18.1708,1561383,28371578.2164,399,7250.1492
1270,263.009,2168761,570403661.849,20806,5472165.254000001
2165,28.2044,1061176,29929832.3744,5,141.022
1152,171.372,1542807,264393921.20400003,661,113276.892
792,79.0312,1208817,95534258.0904,837,66149.1144
1979,51.6033,1187423,61274945.295899995,1537,79314.2721
2185,56.1164,2643361,148335903.2204,32,1795.7248

weighted_avg,NA,NA,3853932017.2786508,NA,22574338.70410001
weighted_%,NA,NA,0.9941766279657299,NA,0.005823372034270039
weighted_total,3876506355.982751
