Simpoints,Weight,ICACHE_FILL_CORRECT_REQ_BY_ON_FDIP_HIT_BY_DEMAND_LOAD_val,ICACHE_FILL_CORRECT_REQ_BY_ON_FDIP_HIT_BY_DEMAND_LOAD_w_val,ICACHE_FILL_CORRECT_REQ_BY_OFF_FDIP_HIT_BY_DEMAND_LOAD_val,ICACHE_FILL_CORRECT_REQ_BY_OFF_FDIP_HIT_BY_DEMAND_LOAD_w_val
2264,44.9546,2725,122501.285,0,0.0
812,334.908,8196,2744905.9680000003,0,0.0
1358,97.2156,10483,1019111.1348,0,0.0
1778,40.8635,3,122.5905,0,0.0
828,45.4532,298,13545.053600000001,0,0.0
2213,8.07837,9,72.70533,0,0.0
1726,65.5195,23,1506.9485,0,0.0
2054,37.2896,222,8278.2912,0,0.0
1903,16.1097,13,209.4261,0,0.0
509,133.977,6222,833604.894,0,0.0
1751,10.0901,0,0.0,0,0.0
62,40.4224,658,26597.9392,0,0.0
2151,40.7196,124,5049.2304,0,0.0
239,98.774,119,11754.106,0,0.0
1893,44.3029,0,0.0,0,0.0
1305,111.513,13396,1493828.148,0,0.0
1673,34.2884,103,3531.7052000000003,0,0.0
492,45.4197,5008,227461.8576,0,0.0
2249,320.874,16823,5398063.302,0,0.0
264,17.7912,1098,19534.7376,0,0.0
2123,26.1783,39,1020.9537,0,0.0
116,27.1629,308,8366.1732,0,0.0
1159,18.1708,99,1798.9092,0,0.0
1270,263.009,7691,2022802.219,2,526.018
2165,28.2044,4,112.8176,0,0.0
1152,171.372,442,75746.424,0,0.0
792,79.0312,806,63699.1472,0,0.0
1979,51.6033,1182,60995.1006,0,0.0
2185,56.1164,5,280.582,0,0.0

weighted_avg,NA,NA,14164501.649530003,NA,526.018
weighted_%,NA,NA,0.9999628650213508,NA,3.7134978649266796e-05
weighted_total,14165027.667530002
