Simpoints,Weight,ICACHE_MISS_MSHR_HIT_ONPATH_BY_FDIP_val,ICACHE_MISS_MSHR_HIT_ONPATH_BY_FDIP_w_val,ICACHE_MISS_MSHR_HIT_OFFPATH_BY_FDIP_val,ICACHE_MISS_MSHR_HIT_OFFPATH_BY_FDIP_w_val
2264,44.9546,3350,150597.91,1236,55563.8856
812,334.908,8759,2933459.1720000003,345,115543.26000000001
1358,97.2156,13096,1273135.4976,1911,185779.0116
1778,40.8635,4,163.454,0,0.0
828,45.4532,397,18044.920400000003,219,9954.2508
2213,8.07837,20,161.5674,33,266.58621
1726,65.5195,25,1637.9874999999997,4,262.078
2054,37.2896,287,10702.1152,159,5929.0464
1903,16.1097,18,289.9746,14,225.5358
509,133.977,6544,876745.488,486,65112.822
1751,10.0901,0,0.0,0,0.0
62,40.4224,772,31206.092800000002,156,6305.8944
2151,40.7196,218,8876.8728,177,7207.3692
239,98.774,121,11951.654,12,1185.288
1893,44.3029,0,0.0,0,0.0
1305,111.513,17249,1923487.7370000002,2554,284804.202
1673,34.2884,107,3668.8588000000004,24,822.9216000000001
492,45.4197,5581,253487.3457,686,31157.9142
2249,320.874,20371,6536524.254000001,3045,977061.3300000001
264,17.7912,1214,21598.5168,348,6191.3376
2123,26.1783,52,1361.2716,2,52.3566
116,27.1629,312,8474.8248,34,923.5386
1159,18.1708,160,2907.328,214,3888.5512
1270,263.009,10676,2807884.0840000003,6084,1600146.756
2165,28.2044,4,112.8176,0,0.0
1152,171.372,495,84829.14000000001,132,22621.104000000003
792,79.0312,827,65358.8024,6,474.18719999999996
1979,51.6033,1334,68838.80219999999,144,7430.8751999999995
2185,56.1164,7,392.8148,25,1402.9099999999999

weighted_avg,NA,NA,17095899.304000005,NA,3390313.012210001
weighted_%,NA,NA,0.8345075722207874,NA,0.16549242777921264
weighted_total,20486212.316210005
