Simpoints,Weight,ICACHE_UNUSEFUL_CL_val,ICACHE_UNUSEFUL_CL_w_val
2264,44.9546,6389,287214.9394
812,334.908,44227,14811976.116
1358,97.2156,27614,2684511.5784
1778,40.8635,24,980.724
828,45.4532,623,28317.3436
2213,8.07837,7,56.54859
1726,65.5195,3,196.55849999999998
2054,37.2896,462,17227.7952
1903,16.1097,65,1047.1305
509,133.977,5247,702977.319
1751,10.0901,0,0.0
62,40.4224,1764,71305.11360000001
2151,40.7196,471,19178.9316
239,98.774,191,18865.834
1893,44.3029,0,0.0
1305,111.513,35229,3928491.477
1673,34.2884,72,2468.7648000000004
492,45.4197,7746,351820.9962
2249,320.874,54244,17405489.256
264,17.7912,4579,81465.9048
2123,26.1783,22,575.9226
116,27.1629,265,7198.1685
1159,18.1708,458,8322.2264
1270,263.009,27992,7362147.928
2165,28.2044,85,2397.374
1152,171.372,473,81058.956
792,79.0312,4187,330903.6344
1979,51.6033,411,21208.956299999998
2185,56.1164,58,3254.7511999999997

weighted_avg,NA,NA,48230660.24859001
weighted_%,NA,NA,1.0
weighted_total,48230660.24859001
