Simpoints,Weight,INST_LOST_WAIT_FOR_ICACHE_MISS_val,INST_LOST_WAIT_FOR_ICACHE_MISS_w_val
2264,44.9546,575120,25854289.552
812,334.908,475750,159332481.0
1358,97.2156,2248445,218583929.74199998
1778,40.8635,950,38820.325000000004
828,45.4532,177405,8063624.946
2213,8.07837,18645,150621.20865
1726,65.5195,1620,106141.59
2054,37.2896,64055,2388585.328
1903,16.1097,5645,90939.2565
509,133.977,674645,90386913.165
1751,10.0901,0,0.0
62,40.4224,115405,4664947.072000001
2151,40.7196,173750,7075030.5
239,98.774,7435,734384.6900000001
1893,44.3029,0,0.0
1305,111.513,3354400,374059207.2
1673,34.2884,12045,413003.77800000005
492,45.4197,686710,31190162.187
2249,320.874,1967840,631428692.1600001
264,17.7912,207835,3697634.052
2123,26.1783,6205,162436.3515
116,27.1629,29200,793156.68
1159,18.1708,109720,1993700.176
1270,263.009,3957350,1040818666.1500001
2165,28.2044,2190,61767.636
1152,171.372,59630,10218912.360000001
792,79.0312,64955,5133471.596
1979,51.6033,340485,17570149.6005
2185,56.1164,9130,512342.73199999996

weighted_avg,NA,NA,2635524011.034151
weighted_%,NA,NA,1.0
weighted_total,2635524011.034151
