Simpoints,Weight,ICACHE_EVICT_MISS_ONPATH_BY_FDIP_val,ICACHE_EVICT_MISS_ONPATH_BY_FDIP_w_val,ICACHE_EVICT_MISS_OFFPATH_BY_FDIP_val,ICACHE_EVICT_MISS_OFFPATH_BY_FDIP_w_val
2264,44.9546,3671,165028.3366,1609,72331.9514
812,334.908,32418,10857047.544,2398,803109.3840000001
1358,97.2156,20793,2021403.9708,3647,354545.29319999996
1778,40.8635,8,326.908,16,653.816
828,45.4532,412,18726.7184,206,9363.3592
2213,8.07837,5,40.39185,2,16.15674
1726,65.5195,2,131.039,1,65.5195
2054,37.2896,280,10441.088,118,4400.1728
1903,16.1097,51,821.5947,14,225.5358
509,133.977,3060,409969.62,171,22910.067
1751,10.0901,0,0.0,0,0.0
62,40.4224,897,36258.8928,90,3638.016
2151,40.7196,246,10017.0216,212,8632.5552
239,98.774,110,10865.14,21,2074.254
1893,44.3029,0,0.0,0,0.0
1305,111.513,26510,2956209.6300000004,4792,534370.296
1673,34.2884,47,1611.5548000000001,21,720.0564
492,45.4197,5794,263161.7418,703,31930.0491
2249,320.874,39708,12741264.792000001,7924,2542605.5760000004
264,17.7912,2963,52715.3256,514,9144.6768
2123,26.1783,9,235.6047,10,261.783
116,27.1629,61,1656.9369,74,2010.0546
1159,18.1708,270,4906.116,182,3307.0856
1270,263.009,17804,4682612.2360000005,7971,2096444.739
2165,28.2044,0,0.0,0,0.0
1152,171.372,299,51240.228,124,21250.128
792,79.0312,639,50500.936799999996,0,0.0
1979,51.6033,283,14603.7339,31,1599.7023
2185,56.1164,37,2076.3068,21,1178.4443999999999

weighted_avg,NA,NA,34363873.40905001,NA,6526788.67204
weighted_%,NA,NA,0.8403843728649645,NA,0.15961562713503555
weighted_total,40890662.08109001
