Simpoints,Weight,INST_LOST_WAIT_FOR_ICACHE_MISS_NOT_PREFETCHED_val,INST_LOST_WAIT_FOR_ICACHE_MISS_NOT_PREFETCHED_w_val,INST_LOST_WAIT_FOR_ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_IFETCH_val,INST_LOST_WAIT_FOR_ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_IFETCH_w_val,INST_LOST_WAIT_FOR_ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_FDIP_val,INST_LOST_WAIT_FOR_ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_FDIP_w_val,INST_LOST_WAIT_FOR_ICACHE_MISS_MSHR_HIT_PREF_OFFPATH_val,INST_LOST_WAIT_FOR_ICACHE_MISS_MSHR_HIT_PREF_OFFPATH_w_val,INST_LOST_WAIT_FOR_ICACHE_MISS_MSHR_HIT_PREF_ONPATH_val,INST_LOST_WAIT_FOR_ICACHE_MISS_MSHR_HIT_PREF_ONPATH_w_val
2264,44.9546,38885,1748059.621,0,0.0,0,0.0,500,22477.3,442850,19908144.61
812,334.908,260,87076.08,0,0.0,0,0.0,19850,6647923.800000001,439090,147054753.72
1358,97.2156,1325,128810.67,0,0.0,0,0.0,137860,13402142.615999999,1934745,188087396.02199998
1778,40.8635,0,0.0,0,0.0,0,0.0,0,0.0,950,38820.325000000004
828,45.4532,2445,111133.07400000001,0,0.0,0,0.0,1280,58180.096000000005,148600,6754345.5200000005
2213,8.07837,0,0.0,0,0.0,0,0.0,0,0.0,13365,107967.41505
1726,65.5195,65,4258.7675,0,0.0,0,0.0,0,0.0,1390,91072.105
2054,37.2896,1040,38781.184,0,0.0,0,0.0,0,0.0,48620,1813020.352
1903,16.1097,0,0.0,0,0.0,0,0.0,0,0.0,4635,74668.4595
509,133.977,2430,325564.11,0,0.0,0,0.0,61735,8271070.095000001,573230,76799635.71000001
1751,10.0901,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
62,40.4224,1080,43656.192,0,0.0,0,0.0,120,4850.688,97920,3958161.4080000003
2151,40.7196,5135,209095.146,0,0.0,0,0.0,3855,156974.058,121070,4929921.972
239,98.774,0,0.0,0,0.0,0,0.0,0,0.0,6850,676601.9
1893,44.3029,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1305,111.513,3375,376356.375,0,0.0,0,0.0,222945,24861265.785,2889145,322177226.385
1673,34.2884,0,0.0,0,0.0,0,0.0,0,0.0,11070,379572.58800000005
492,45.4197,6395,290458.9815,0,0.0,0,0.0,25560,1160927.532,612270,27809119.719
2249,320.874,4220,1354088.28,0,0.0,0,0.0,126240,40507133.760000005,1647020,528485895.48
264,17.7912,8710,154961.352,0,0.0,0,0.0,100,1779.12,147940,2632030.128
2123,26.1783,0,0.0,0,0.0,0,0.0,0,0.0,6000,157069.8
116,27.1629,0,0.0,0,0.0,0,0.0,0,0.0,24945,677578.5405
1159,18.1708,3465,62961.822,0,0.0,0,0.0,1205,21895.814,81360,1478376.288
1270,263.009,101705,26749330.345000003,0,0.0,0,0.0,58015,15258467.135000002,3112180,818531349.62
2165,28.2044,65,1833.286,0,0.0,0,0.0,0,0.0,2125,59934.35
1152,171.372,6240,1069361.28,0,0.0,0,0.0,135,23135.22,46015,7885682.580000001
792,79.0312,65,5137.028,0,0.0,0,0.0,0,0.0,64195,5073407.884
1979,51.6033,22720,1172426.976,0,0.0,0,0.0,16310,841649.823,287830,14852977.839
2185,56.1164,0,0.0,0,0.0,0,0.0,0,0.0,6790,381030.35599999997

weighted_avg,NA,NA,33933350.57000001,NA,0.0,NA,0.0,NA,111239872.842,NA,2180875761.07605
weighted_%,NA,NA,0.014588407551300362,NA,0.0,NA,0.0,NA,0.04782352976391993,NA,0.9375880626847797
weighted_total,2326048984.48805
