Simpoints,Weight,FDIP_SENIORITY_FTQ_ACCUMULATED_val,FDIP_SENIORITY_FTQ_ACCUMULATED_w_val
2264,44.9546,268250378,12059088442.8388
812,334.908,214594904,71869550108.832
1358,97.2156,294970487,28675732875.9972
1778,40.8635,146631885,5991892032.6975
828,45.4532,26078917,1185370230.1844
2213,8.07837,12578355,101612605.68135
1726,65.5195,30671419,2009576037.1704998
2054,37.2896,545952901,20358365297.1296
1903,16.1097,33890706,545969106.4482
509,133.977,17803882,2385310698.714
1751,10.0901,27640838,278898819.5038
62,40.4224,50346187,2035113709.3888001
2151,40.7196,299008119,12175491002.4324
239,98.774,1621627,160174585.298
1893,44.3029,1193951,52895491.7579
1305,111.513,386682970,43120178033.61
1673,34.2884,24916981,854363411.3204001
492,45.4197,22159591,1006481975.3427
2249,320.874,760386342,243988207102.90802
264,17.7912,70348586,1251585763.2432
2123,26.1783,1355997,35497696.2651
116,27.1629,16585797,450518345.3313
1159,18.1708,78176348,1420526784.2384
1270,263.009,1315391761,345959871668.849
2165,28.2044,0,0.0
1152,171.372,90429725,15497122832.7
792,79.0312,2720034,214967551.0608
1979,51.6033,36678143,1892713216.6718998
2185,56.1164,95969021,5385435970.0444

weighted_avg,NA,NA,820962511395.6597
weighted_%,NA,NA,1.0
weighted_total,820962511395.6597
