Simpoints,Weight,ICACHE_FILL_CORRECT_REQ_CYCLE_DELTA_BY_ON_FDIP_HIT_BY_DEMAND_LOAD_val,ICACHE_FILL_CORRECT_REQ_CYCLE_DELTA_BY_ON_FDIP_HIT_BY_DEMAND_LOAD_w_val,ICACHE_FILL_CORRECT_REQ_CYCLE_DELTA_BY_OFF_FDIP_HIT_BY_DEMAND_LOAD_val,ICACHE_FILL_CORRECT_REQ_CYCLE_DELTA_BY_OFF_FDIP_HIT_BY_DEMAND_LOAD_w_val
2264,44.9546,72522,3260197.5012,0,0.0
812,334.908,95219,31889604.852,0,0.0
1358,97.2156,331916,32267413.089599997,0,0.0
1778,40.8635,192,7845.792,0,0.0
828,45.4532,23700,1077240.84,0,0.0
2213,8.07837,1316,10631.134919999999,0,0.0
1726,65.5195,254,16641.952999999998,0,0.0
2054,37.2896,8274,308534.1504,0,0.0
1903,16.1097,568,9150.3096,0,0.0
509,133.977,125301,16787452.077,0,0.0
1751,10.0901,0,0.0,0,0.0
62,40.4224,16963,685685.1712000001,0,0.0
2151,40.7196,18213,741626.0748,0,0.0
239,98.774,1488,146975.712,0,0.0
1893,44.3029,0,0.0,0,0.0
1305,111.513,482251,53777255.763000004,0,0.0
1673,34.2884,2209,75743.07560000001,0,0.0
492,45.4197,113799,5168716.4403,0,0.0
2249,320.874,308354,98942781.39600001,0,0.0
264,17.7912,26559,472516.4808,0,0.0
2123,26.1783,825,21597.0975,0,0.0
116,27.1629,4737,128670.6573,0,0.0
1159,18.1708,11472,208455.4176,0,0.0
1270,263.009,465607,122458831.463,188,49445.692
2165,28.2044,429,12099.6876,0,0.0
1152,171.372,8240,1412105.28,0,0.0
792,79.0312,13461,1063838.9832,0,0.0
1979,51.6033,54347,2804484.5450999998,0,0.0
2185,56.1164,1181,66273.4684,0,0.0

weighted_avg,NA,NA,373822368.41312,NA,49445.692
weighted_%,NA,NA,0.9998677469385642,NA,0.00013225306143591122
weighted_total,373871814.10511994
