Simpoints,Weight,FDIP_ATTEMPTED_PREF_ONPATH_val,FDIP_ATTEMPTED_PREF_ONPATH_w_val,FDIP_ATTEMPTED_PREF_OFFPATH_val,FDIP_ATTEMPTED_PREF_OFFPATH_w_val
2264,44.9546,1200625,53973616.625,1085457,48796285.2522
812,334.908,1500449,502512373.69200003,494795,165710803.86
1358,97.2156,1042005,101299141.278,958210,93152960.07599999
1778,40.8635,1379373,56366008.5855,208378,8515054.403
828,45.4532,1162854,52855435.4328,2690316,122283471.21120001
2213,8.07837,1190610,9618188.1057,293388,2370096.81756
1726,65.5195,1230024,80590557.468,165045,10813665.8775
2054,37.2896,1403690,52343038.624,91449,3410096.6304
1903,16.1097,822217,13245669.2049,29742,479134.6974
509,133.977,1145129,153420948.033,387984,51980932.368
1751,10.0901,1324017,13359463.931699999,67552,681606.4352
62,40.4224,1424386,57577100.646400005,391081,15808432.614400001
2151,40.7196,1324330,53926187.868,2013470,81987693.012
239,98.774,1450417,143263488.75800002,93742,9259272.308
1893,44.3029,673142,29822142.7118,51255,2270745.1395
1305,111.513,1246074,138953449.962,1252227,139639589.451
1673,34.2884,1381364,47364761.37760001,324671,11132449.116400002
492,45.4197,976117,44334941.3049,531969,24161872.3893
2249,320.874,1361143,436755398.98200005,1847471,592805409.654
264,17.7912,1361575,24224053.14,2740994,48765572.4528
2123,26.1783,1109317,29040033.2211,438285,11473556.2155
116,27.1629,1253479,34048124.729100004,1141978,31019434.2162
1159,18.1708,1385162,25169501.6696,635993,11556501.6044
1270,263.009,1313830,345549114.47,2309181,607335385.6290001
2165,28.2044,1108415,31262180.026,38184,1076956.8096
1152,171.372,1169617,200439604.52400002,873887,149759762.96400002
792,79.0312,1191635,94176344.012,77340,6112273.007999999
1979,51.6033,1060319,54715959.4527,348711,17994638.3463
2185,56.1164,1107888,62170686.1632,3056111,171497947.3204

weighted_avg,NA,NA,2942377513.9990005,NA,2441851599.87926
weighted_%,NA,NA,0.5464807406532531,NA,0.45351925934674686
weighted_total,5384229113.878261
