Simpoints,Weight,FDIP_FTQ_OCCUPANCY_OPS_ACCUMULATED_val,FDIP_FTQ_OCCUPANCY_OPS_ACCUMULATED_w_val
2264,44.9546,779378621,35036654155.6066
812,334.908,715468533,239616135449.96402
1358,97.2156,1136423421,110478084726.5676
1778,40.8635,2128189070,86965254061.945
828,45.4532,1900775891,86396346728.80121
2213,8.07837,872940928,7051939804.52736
1726,65.5195,592220889,38802016536.835495
2054,37.2896,551147476,20552068921.0496
1903,16.1097,752632886,12124690003.5942
509,133.977,2100187689,281376846009.153
1751,10.0901,703581330,7099205977.833
62,40.4224,789234609,31902757058.841602
2151,40.7196,1820911685,74146795448.526
239,98.774,524715437,51828242574.238
1893,44.3029,957864551,42436177416.4979
1305,111.513,1332378909,148577569279.31702
1673,34.2884,882820802,30270512787.296803
492,45.4197,1602194190,72771179451.543
2249,320.874,733228790,235274054762.46002
264,17.7912,2801796193,49847316428.901596
2123,26.1783,1399047110,36624674959.713
116,27.1629,1090669810,29625754982.049
1159,18.1708,645235788,11724450456.5904
1270,263.009,1044203211,274634842321.89902
2165,28.2044,633936974,17879811989.4856
1152,171.372,724823095,124214383436.34001
792,79.0312,857645221,67780730989.895195
1979,51.6033,929292844,47954577416.785194
2185,56.1164,3006321103,168703917544.3892

weighted_avg,NA,NA,2441696991680.645
weighted_%,NA,NA,1.0
weighted_total,2441696991680.645
