Simpoints,Weight,FDIP_PREF_MSHR_PROBE_HIT_ONPATH_val,FDIP_PREF_MSHR_PROBE_HIT_ONPATH_w_val,FDIP_PREF_MSHR_PROBE_HIT_OFFPATH_val,FDIP_PREF_MSHR_PROBE_HIT_OFFPATH_w_val
2264,44.9546,10817,486273.9082,5303,238394.2438
812,334.908,80145,26841201.66,11196,3749629.9680000003
1358,97.2156,21317,2072344.9452,15405,1497606.318
1778,40.8635,2,81.727,0,0.0
828,45.4532,215,9772.438,612,27817.3584
2213,8.07837,12,96.94044,40,323.1348
1726,65.5195,195,12776.302499999998,94,6158.833
2054,37.2896,491,18309.1936,370,13797.152
1903,16.1097,19,306.0843,29,467.1813
509,133.977,17286,2315926.4220000003,1811,242632.347
1751,10.0901,0,0.0,0,0.0
62,40.4224,5354,216421.5296,971,39250.150400000006
2151,40.7196,92,3746.2032,374,15229.1304
239,98.774,436,43065.464,127,12544.298
1893,44.3029,0,0.0,0,0.0
1305,111.513,27879,3108870.927,20638,2301405.294
1673,34.2884,168,5760.4512,4,137.1536
492,45.4197,13087,594407.6139,3994,181406.2818
2249,320.874,32762,10512473.988,23843,7650598.782000001
264,17.7912,7462,132757.9344,1850,32913.72
2123,26.1783,21,549.7443,39,1020.9537
116,27.1629,438,11897.3502,10,271.629
1159,18.1708,93,1689.8844,319,5796.4852
1270,263.009,11100,2919399.9000000004,19569,5146823.121
2165,28.2044,211,5951.1284,3,84.6132
1152,171.372,1017,174285.32400000002,576,98710.27200000001
792,79.0312,40057,3165752.7783999997,906,71602.2672
1979,51.6033,2171,112030.7643,486,25079.2038
2185,56.1164,2,112.2328,8,448.9312

weighted_avg,NA,NA,52766262.839339994,NA,21360148.822800007
weighted_%,NA,NA,0.7118415913594036,NA,0.2881584086405964
weighted_total,74126411.66214
