Simpoints,Weight,FDIP_PREF_ICACHE_PROBE_HIT_ONPATH_val,FDIP_PREF_ICACHE_PROBE_HIT_ONPATH_w_val,FDIP_PREF_ICACHE_PROBE_HIT_OFFPATH_val,FDIP_PREF_ICACHE_PROBE_HIT_OFFPATH_w_val
2264,44.9546,1146248,51529120.3408,1048536,47136516.4656
812,334.908,1042005,348975810.54,385914,129245685.912
1358,97.2156,933489,90749693.22839999,859714,83577612.33839999
1778,40.8635,1367616,55885576.416,207679,8486490.8165
828,45.4532,1162042,52818527.4344,2686247,122098522.1404
2213,8.07837,1190165,9614593.23105,292300,2361307.551
1726,65.5195,1227412,80419420.534,164384,10770357.487999998
2054,37.2896,1366083,50940688.6368,86918,3241137.4528
1903,16.1097,820255,13214061.9735,29476,474849.5172
509,133.977,1053790,141183622.83,375798,50348288.646
1751,10.0901,1322187,13340999.0487,67234,678397.7834
62,40.4224,1386506,56045900.1344,379487,15339775.3088
2151,40.7196,1305837,53173160.3052,2005139,81648458.0244
239,98.774,1447793,143004305.782,93062,9192105.988
1893,44.3029,673033,29817313.6957,51171,2267023.6959
1305,111.513,1108428,123604131.56400001,1124978,125449671.714
1673,34.2884,1379318,47294607.3112,324029,11110435.9636
492,45.4197,908811,41277922.9767,508539,23097688.818299998
2249,320.874,1187334,380984609.916,1673980,537136658.52
264,17.7912,1309313,23294249.4456,2721866,48425262.3792
2123,26.1783,1109172,29036237.3676,437957,11464969.7331
116,27.1629,1251822,34003115.8038,1140282,30973365.9378
1159,18.1708,1382967,25129616.7636,631621,11477058.866799999
1270,263.009,1256399,330444244.591,2161352,568455028.168
2165,28.2044,1107408,31233778.1952,38130,1075433.7719999999
1152,171.372,1160412,198862125.26400003,870977,149261070.444
792,79.0312,996453,78750876.3336,72210,5706842.952
1979,51.6033,1050931,54231507.672299996,346313,17870893.6329
2185,56.1164,1106058,62067993.1512,3045257,170888859.9148

weighted_avg,NA,NA,2650927810.4867496,NA,2279259769.9449
weighted_%,NA,NA,0.5376930932625194,NA,0.4623069067374806
weighted_total,4930187580.43165
