Simpoints,Weight,NODE_CYCLE_val,NODE_CYCLE_w_val
4118,2431.67,5164168,12557552400.56
1010,22.174,5505113,122070375.662
1362,2347.06,5159713,12110155993.779999
5198,1186.62,5131423,6089049160.259999

weighted_avg,NA,NA,30878827930.261997
weighted_%,NA,NA,1.0
weighted_total,30878827930.261997
