Simpoints,Weight,INST_LOST_WAIT_FOR_ICACHE_MISS_val,INST_LOST_WAIT_FOR_ICACHE_MISS_w_val
4118,2431.67,8466280,20587199087.600002
1010,22.174,8638500,191550099.0
1362,2347.06,8297465,19474648202.899998
5198,1186.62,8414385,9984677528.699999

weighted_avg,NA,NA,50238074918.2
weighted_%,NA,NA,1.0
weighted_total,50238074918.2
