Simpoints,Weight,FDIP_NEW_PREFETCHES_ONPATH_val,FDIP_NEW_PREFETCHES_ONPATH_w_val,FDIP_NEW_PREFETCHES_OFFPATH_val,FDIP_NEW_PREFETCHES_OFFPATH_w_val
49,53.1722,456028,24248012.021599997,258031,13720075.938199999
1172,4605.89,534569,2462166011.4100003,281176,1295065726.64

weighted_avg,NA,NA,2486414023.4316,NA,1308785802.5782
weighted_%,NA,NA,0.6551470640337186,NA,0.34485293596628147
weighted_total,3795199826.0098
