Simpoints,Weight,FDIP_ATTEMPTED_PREF_ONPATH_val,FDIP_ATTEMPTED_PREF_ONPATH_w_val,FDIP_ATTEMPTED_PREF_OFFPATH_val,FDIP_ATTEMPTED_PREF_OFFPATH_w_val
49,53.1722,1523844,81026137.93679999,1017816,54119515.915199995
1172,4605.89,1558219,7176985309.910001,1063289,4897392172.21

weighted_avg,NA,NA,7258011447.846801,NA,4951511688.1252
weighted_%,NA,NA,0.594454948569045,NA,0.40554505143095504
weighted_total,12209523135.972
