Simpoints,Weight,INST_LOST_WAIT_FOR_ICACHE_MISS_val,INST_LOST_WAIT_FOR_ICACHE_MISS_w_val
49,53.1722,4112555,218673596.971
1172,4605.89,4174405,19226850245.45

weighted_avg,NA,NA,19445523842.421
weighted_%,NA,NA,1.0
weighted_total,19445523842.421
