Simpoints,Weight,FDIP_FTQ_OCCUPANCY_OPS_ACCUMULATED_val,FDIP_FTQ_OCCUPANCY_OPS_ACCUMULATED_w_val
49,53.1722,482031082,25630653098.3204
1172,4605.89,451791804,2080903352125.56

weighted_avg,NA,NA,2106534005223.8804
weighted_%,NA,NA,1.0
weighted_total,2106534005223.8804
