Simpoints,Weight,ICACHE_UNUSEFUL_CL_CYC_val,ICACHE_UNUSEFUL_CL_CYC_w_val
49,53.1722,303698468,16148315680.189598
1172,4605.89,289126010,1331682598198.9001

weighted_avg,NA,NA,1347830913879.0898
weighted_%,NA,NA,1.0
weighted_total,1347830913879.0898
