Simpoints,Weight,ICACHE_UNUSEFUL_CL_val,ICACHE_UNUSEFUL_CL_w_val
49,53.1722,95886,5098469.5692
1172,4605.89,109974,506528146.86

weighted_avg,NA,NA,511626616.4292
weighted_%,NA,NA,1.0
weighted_total,511626616.4292
