Simpoints,Weight,INST_LOST_WAIT_FOR_ICACHE_MISS_val,INST_LOST_WAIT_FOR_ICACHE_MISS_w_val
49,53.1722,6075845,323066045.509
1172,4605.89,6223570,28665078827.300003

weighted_avg,NA,NA,28988144872.809002
weighted_%,NA,NA,1.0
weighted_total,28988144872.809002
