Simpoints,Weight,ICACHE_MISS_MSHR_HIT_ONPATH_BY_FDIP_val,ICACHE_MISS_MSHR_HIT_ONPATH_BY_FDIP_w_val,ICACHE_MISS_MSHR_HIT_OFFPATH_BY_FDIP_val,ICACHE_MISS_MSHR_HIT_OFFPATH_BY_FDIP_w_val
49,53.1722,68559,3645432.8597999997,1678,89222.9516
1172,4605.89,75054,345690468.06,891,4103847.99

weighted_avg,NA,NA,349335900.9198,NA,4193070.9416
weighted_%,NA,NA,0.9881393852404156,NA,0.011860614759584347
weighted_total,353528971.8614
