Simpoints,Weight,DCACHE_MISS_val,DCACHE_MISS_w_val,DCACHE_ST_BUFFER_HIT_val,DCACHE_ST_BUFFER_HIT_w_val,DCACHE_HIT_val,DCACHE_HIT_w_val
2766,217.447,150434,32711421.998,6514,1416449.758,4568844,993481421.268
2298,16.1495,3161,51048.5695,266,4295.767,2212696,35733934.052
2235,73.9095,616773,45585384.0435,43655,3226519.2224999997,3265668,241363889.04599997
562,151.883,122686,18633917.738,1154,175272.98200000002,3476456,528014566.64800006
2322,74.3347,86862,6456860.711399999,16,1189.3552,3304549,245642658.5503
533,77.6496,703473,54624397.0608,7819,607142.2224000001,3638418,282521702.33280003
655,136.191,240608,32768644.128000002,3844,523518.204,4774357,650224454.187
414,208.958,291565,60924839.269999996,6569,1372645.102,3913507,817758595.706
253,149.505,692521,103535352.105,9015,1347787.575,2962029,442838145.645
853,129.616,640276,82990014.016,1514,196238.624,2794629,362228632.46400005
907,262.418,95683,25108941.494,905,237488.29,4141760,1086872375.68
1114,12.9007,641983,8282030.0881,1943,25066.060100000002,6082089,78463205.5623
939,1055.11,168413,177694240.42999998,6923,7304526.529999999,3782456,3990907150.16
2606,11.2554,5151203,57978850.2462,17216,193772.9664,3269031,36794251.5174
2837,150.956,243045,36689101.019999996,6289,949362.284,4413212,666200830.6719999
1793,150.359,954909,143579162.331,75898,11411947.382000001,3088163,464333100.517
1046,85.9267,724557,62258791.9719,8646,742922.2481999999,3180826,273317881.45419997
554,46.3771,134464,6236050.3744,1740,80696.154,3431898,159161476.7358
1970,47.9169,52152777,2498999400.2313,4130,197896.797,12328087,590723711.9703

weighted_avg,NA,NA,3455108447.8271,NA,30014737.523799993,NA,11946581984.1681
weighted_%,NA,NA,0.22389673790889267,NA,0.0019450045989140381,NA,0.7741582574921932
weighted_total,15431705169.519001
