Simpoints,Weight,FDIP_BLOOM_HIT_val,FDIP_BLOOM_HIT_w_val,FDIP_BLOOM_MISS_val,FDIP_BLOOM_MISS_w_val
2766,217.447,7294,1586058.418,397,86326.459
2298,16.1495,0,0.0,0,0.0
2235,73.9095,14243,1052693.0085,68373,5053414.2435
562,151.883,14728,2236932.824,10647,1617098.3010000002
2322,74.3347,1153,85707.9091,1976,146885.3672
533,77.6496,40650,3156456.24,13820,1073117.472
655,136.191,6724,915748.284,7330,998280.03
414,208.958,576357,120434406.006,168346,35177243.468
253,149.505,19319,2888287.0949999997,1179,176266.395
853,129.616,115076,14915690.816000002,62111,8050579.376000001
907,262.418,7884,2068903.512,4893,1284011.274
1114,12.9007,900,11610.630000000001,1040,13416.728000000001
939,1055.11,290371,306373345.80999994,81034,85499783.74
2606,11.2554,112588,1267222.9752,270614,3045868.8156
2837,150.956,12928,1951559.1679999998,1058,159711.44799999997
1793,150.359,40720,6122618.48,82579,12416495.861000001
1046,85.9267,46669,4010113.1623,2284,196256.5828
554,46.3771,5543,257068.2653,2851,132221.1121
1970,47.9169,7905,378783.0945,3081,147631.9689

weighted_avg,NA,NA,469713205.6978999,NA,155274608.6421
weighted_%,NA,NA,0.7515557822418134,NA,0.24844421775818656
weighted_total,624987814.3399999
