Simpoints,Weight,ICACHE_HIT_BY_FDIP_ONPATH_val,ICACHE_HIT_BY_FDIP_ONPATH_w_val,ICACHE_HIT_BY_FDIP_OFFPATH_val,ICACHE_HIT_BY_FDIP_OFFPATH_w_val
2766,217.447,93511,20333686.417,7148,1554311.156
2298,16.1495,0,0.0,0,0.0
2235,73.9095,1,73.9095,52,3843.294
562,151.883,12304,1868768.432,3155,479190.86500000005
2322,74.3347,4,297.3388,6,446.0082
533,77.6496,723,56140.660800000005,1321,102575.12160000001
655,136.191,18,2451.438,46,6264.786
414,208.958,56216,11746782.928,15393,3216490.494
253,149.505,103750,15511143.75,8310,1242386.55
853,129.616,7,907.3120000000001,94,12183.904
907,262.418,7619,1999362.742,3539,928697.302
1114,12.9007,761,9817.432700000001,62,799.8434
939,1055.11,128251,135318912.60999998,34194,36078431.339999996
2606,11.2554,3,33.7662,31,348.9174
2837,150.956,122071,18427349.876,15152,2287285.312
1793,150.359,4,601.436,61,9171.899000000001
1046,85.9267,83793,7200055.9731,5165,443811.4055
554,46.3771,1424,66040.9904,581,26945.0951
1970,47.9169,2112,101200.49279999999,602,28845.9738

weighted_avg,NA,NA,212643627.50529996,NA,46422029.267
weighted_%,NA,NA,0.8208097906709355,NA,0.1791902093290645
weighted_total,259065656.77229995
