Simpoints,Weight,FDIP_SENIORITY_FTQ_ACCUMULATED_val,FDIP_SENIORITY_FTQ_ACCUMULATED_w_val
2766,217.447,6261304,1361501770.888
2298,16.1495,0,0.0
2235,73.9095,562624037,41583261262.6515
562,151.883,218683810,33214353114.230003
2322,74.3347,29129461,2165329744.5966997
533,77.6496,169111245,13131420529.752
655,136.191,59729088,8134564223.808001
414,208.958,2799580390,584994719133.62
253,149.505,13920845,2081235931.725
853,129.616,342096027,44341118635.632
907,262.418,89199419,23407533135.142002
1114,12.9007,2557166,32989231.4162
939,1055.11,1622400583,1711811079129.13
2606,11.2554,982328840,11056504025.736
2837,150.956,16010263,2416845261.428
1793,150.359,584539238,87890735286.442
1046,85.9267,27333686,2348693436.8162
554,46.3771,47004213,2179919086.7223
1970,47.9169,8445118,404663874.6942

weighted_avg,NA,NA,2572556466814.43
weighted_%,NA,NA,1.0
weighted_total,2572556466814.43
